hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
A3003	HBZ60	82/003	AC: Elektronenmikrosk.	Gemeinschaftslabor für Elektronenmikroskopie, Bibliothek	NULL	3178
A3004	HBZ60	82/004	AC: Hochschularchiv	Hochschularchiv (Abt. des Historischen Instituts)	NULL	3179
A3005	HBZ60	82/005	AC: Wollforschung	DWI - Deutsches Wollforschungsinstitut e.V. an der RWTH Aachen	NULL	3180
A3006	HBZ60	82/101	AC: GMB	Gemeinsame Mathematische Bibliothek	NULL	3181
A3007	HBZ60	82/102	AC: Statistik/Wirts.Mat	Lehrstuhl für Statistik und Institut für Statistik und Wirtschaftsmathematik der RWTH Aachen	NULL	3182
A3008	HBZ60	82/103	AC: Informatik	Bibliothek der Fachgruppe Informatik der RWTH Aachen	NULL	3183
A3009	HBZ60	82/104	AC	Lehrstuhl I für Mathematik, Bibliothek	2006-05-30 00	:00	:00	3184
A3010	HBZ60	82/105	AC	Institut für Mathematik, Bibliothek	2006-05-30 00	:00	:00	3185
A3011	HBZ60	82/106	AC	Lehrstuhl II für Mathematik (für Ingenieure), Bibliothek	2006-05-30 00	:00	:00	3186
A3012	HBZ60	82/107	AC: Allg. Mechanik	Lehrstuhl und Institut für Allgemeine Mechanik der RWTH Aachen	NULL	3187
A3013	HBZ60	82/108	AC: Techn. Verbrennung	Institut für Technische Verbrennung der RWTH Aachen	NULL	3188
A3014	HBZ60	82/109	AC: LFG Mechanik	Lehr- und Forschungsgebiet Mechanik der RWTH Aachen	NULL	3189
A3015	HBZ60	82/110	AC: Physik	Physik-Bibliothek	NULL	3190
A3016	HBZ60	82/111	AC	Lehrstuhl A für Mathematik der RWTH Aachen	2006-05-30 00	:00	:00	3191
A3017	HBZ60	82/112	AC	Lehrstuhl B für Mathematik der RWTH Aachen	2006-05-30 00	:00	:00	3192
A3018	HBZ60	82/113	AC	Lehrstuhl C für Mathematik der RWTH Aachen	2006-05-30 00	:00	:00	3193
A3019	HBZ60	82/114	AC	Lehrstuhl D für Mathematik der RWTH Aachen	2006-05-30 00	:00	:00	3194
A3020	HBZ60	82/119	AC: Chemie	Chemie-Bibliothek	NULL	3195
A3021	HBZ60	82/122	AC	Institut für Physikalische Chemie der RWTH Aachen	2005-04-08 00	:00	:00	3196
A3022	HBZ60	82/124	AC	Professor-Asinger-Bibliothek, Institut für Brennstoffchemie und Physikalisch-chemische Verfahrenstechnik, Institut für Technische Chemie und Petrolchemie,Lehrstuhl für Textilchemie und Makromolekulare Chemie, Lehrstuhl für Makromolekulare Chemie der TH, Fachbereichsbibliothek Chemie der FH	2008-11-14 00	:00	:00	3197
A3023	HBZ60	82/127	AC: Biologie I	Lehrstuhl für Biotechnologie, Bibliothek	NULL	3198
