Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
2108	OBVSG SE Level 1	AT-OBVSG
2109	Karlsruhe Badisches Landesmus.	DE-Ka23a
2110	Mannheim MARCHIVUM SE3	DE-Mh40
2111	Gotha Schlossmuseum FE3	DE-G16
2112	Frankfurt/M CIBEDO	DE-2287
2113	Weil/Rhein vdmb FE3	DE-Wlr1
2114	Berlin AA SE3	DE-B19
2115	Freiburg Staatsarchiv FE3	DE-Frei145
2116	Salem KrsB FE3	DE-Sam1
2117	Hamburg ZB Behoerden FE3	DE-H216
2118	Wernigerode Harzbuecherei FE3	DE-We21
2119	Halle/S Dt Akad Naturfor FE3	DE-Ha2
2120	Bremen Seeverkehrswirtschaft FE3	DE-Bre2
2121	Zuerich ETHB FE1	CH-ZuETHB
2122	Bern UB FE1	CH-BeUB
2123	Bremen StB FE3	DE-478
2124	Bremen Ueberseemuseum FE3	DE-Bre3
2125	Konstanz BSZ/MusIS FE3	DE-576-3
2129	Esslingen Kreisarchiv	DE-Ess6
2130	Hamburg HfBK FE3	DE-18-26
2133	Mainz Stadtarchiv Bibliothek FE1	DE-2397
2134	Koethen HSB HSA FE3	DE-Kt1
2135	Bremen ZMT FE3	DE-Bre14
2138	HSC SE1	DE-2489
2139	Duesseldorf ArchBiblEvKirche SE3	DE-Due72
2140	Leipzig Museum Voelkerkunde SE3	DE-L228
2141	Boppard Ev. Archivstelle SE3	DE-Bpd1
2142	Berlin DGAP SE3	DE-F131
2143	Berlin SWP SE3	DE-B1567
2144	Bonn BICC SE3	DE-2421
2145	Bonn DIE SE3	DE-B1503
2146	Frankfurt HSFK SE3	DE-F197
2147	Hamburg GIGA SE3	DE-H221
2148	Hamburg IFSH SE3	DE-18-226
